,M_SLP_HR_K,M_WK_HR_K,일어난 시각 - 잠에 든 시각,절대값
5661,2.0,10.0,8.0,8.0
5662,23.0,8.0,-15.0,15.0
5663,23.0,8.0,-15.0,15.0
5664,23.0,8.0,-15.0,15.0
5665,3.0,9.0,6.0,6.0
5666,1.0,9.0,8.0,8.0
5667,24.0,9.0,-15.0,15.0
5668,22.0,7.0,-15.0,15.0
5669,2.0,14.0,12.0,12.0
5670,23.0,9.0,-14.0,14.0
5671,2.0,10.0,8.0,8.0
5672,23.0,9.0,-14.0,14.0
5673,23.0,10.0,-13.0,13.0
5674,2.0,19.0,17.0,17.0
5675,1.0,9.0,8.0,8.0
5676,24.0,5.0,-19.0,19.0
5677,22.0,10.0,-12.0,12.0
5678,2.0,8.0,6.0,6.0
5679,3.0,8.0,5.0,5.0
5680,22.0,8.0,-14.0,14.0
5681,2.0,8.0,6.0,6.0
5682,23.0,10.0,-13.0,13.0
5683,23.0,8.0,-15.0,15.0
5684,4.0,6.0,2.0,2.0
5685,10.0,8.0,-2.0,2.0
5686,11.0,5.0,-6.0,6.0
5687,12.0,9.0,-3.0,3.0
5688,3.0,11.0,8.0,8.0
5689,23.0,7.0,-16.0,16.0
5690,24.0,11.0,-13.0,13.0
5691,23.0,7.0,-16.0,16.0
5692,2.0,11.0,9.0,9.0
5693,1.0,8.0,7.0,7.0
5694,24.0,9.0,-15.0,15.0
5695,1.0,19.0,18.0,18.0
5696,23.0,10.0,-13.0,13.0
5697,24.0,7.0,-17.0,17.0
5698,23.0,9.0,-14.0,14.0
5699,1.0,10.0,9.0,9.0
5700,3.0,6.0,3.0,3.0
5701,23.0,6.0,-17.0,17.0
5702,24.0,9.0,-15.0,15.0
5703,23.0,11.0,-12.0,12.0
5704,23.0,9.0,-14.0,14.0
5705,1.0,9.0,8.0,8.0
5706,24.0,8.0,-16.0,16.0
5707,1.0,9.0,8.0,8.0
5708,24.0,11.0,-13.0,13.0
5709,24.0,11.0,-13.0,13.0
5710,1.0,9.0,8.0,8.0
5711,14.0,12.0,-2.0,2.0
5712,23.0,11.0,-12.0,12.0
5713,23.0,9.0,-14.0,14.0
5714,9.0,24.0,15.0,15.0
