,Variables,Euclidean distance
609,E_FM_F_1_9999,2.3530824184417725
622,E_FM_GM_6_9999,2.359854221343994
619,E_FM_GF_5_9999,2.3721377849578857
614,E_FM_M_3_8888,2.387364625930786
11,F_BR_8,2.388054370880127
620,E_FM_GF_5_8888,2.4016950130462646
700,SleepAvg_WK_20,2.411259889602661
530,S_CONT_M_1,2.424830675125122
631,E_FM_NO_9_9999,2.4313466548919678
69,F_CS_1,2.445619583129883
517,TC_GHW_QT_4,2.445621967315674
708,SleepAvg_WK_16,2.4662840366363525
617,E_FM_SM_4_8888,2.4675848484039307
687,E_BORN_M_12,2.5067431926727295
688,E_BORN_M_3,2.510976791381836
648,E_LT_SM_1,2.5136115550994873
403,AC_DRUNK_4,2.5297393798828125
224,WC_MN_M08_9999,2.536345958709717
709,SleepAvg_WK_1,2.541633367538452
623,E_FM_GM_6_8888,2.5847620964050293
370,V_TRT_6,2.5952038764953613
644,E_LT_M_9999,2.6071841716766357
698,SleepAvg_WK_10,2.6122193336486816
636,E_LT_F_9999,2.6229398250579834
439,TC_HTP_MN_6,2.648322343826294
649,E_LT_SM_2,2.657083034515381
662,E_BORN_F_2,2.680269479751587
689,E_BORN_M_11,2.69736385345459
461,TC_DAGE_13,2.6976401805877686
676,E_KRN_M_2,2.6994071006774902
634,E_LT_F_1,2.7119646072387695
626,E_FM_OBS_7_8888,2.7157864570617676
467,TC_DAGE_5,2.798185348510742
533,S_CONT_M_6,2.8063571453094482
638,E_LT_SF_9999,2.8325259685516357
660,E_BORN_F_6,2.8339295387268066
629,E_FM_YBS_8_8888,2.8342292308807373
654,E_EDU_F_9999,2.8376846313476562
532,S_CONT_M_4,2.8396787643432617
462,TC_DAGE_7,2.855766773223877
679,E_BORN_M_5,2.913071632385254
685,E_BORN_M_8,2.9321887493133545
671,E_EDU_M_9999,2.9813694953918457
