Factors,BMI_0,Rank_BMI_0,BMI_1,Rank_BMI_1,cosine difference
AC_DRUNK_4,0.29262053966522217,654,0.2628211975097656,663,0.029799342155456543
AC_FAGE_1,0.5934160351753235,177,0.6022940278053284,150,0.008877992630004883
AC_FAGE_10,0.5290340185165405,264,0.5250299572944641,243,0.004004061222076416
AC_FAGE_11,0.5093003511428833,313,0.4834801256656647,315,0.025820225477218628
AC_FAGE_12,0.39188504219055176,565,0.447451651096344,406,0.055566608905792236
AC_FAGE_13,0.4058504104614258,536,0.4427238404750824,413,0.036873430013656616
AC_FAGE_14,0.7087846398353577,94,0.6215108633041382,131,0.08727377653121948
AC_FAGE_2,0.4504115879535675,429,0.4934172034263611,293,0.04300561547279358
AC_FAGE_3,0.5168667435646057,291,0.5485921502113342,207,0.031725406646728516
AC_FAGE_4,0.5019311904907227,322,0.6029257774353027,148,0.10099458694458008
AC_FAGE_5,0.5349132418632507,250,0.6366982460021973,117,0.10178500413894653
AC_FAGE_6,0.6042435765266418,168,0.6148593425750732,136,0.010615766048431396
AC_FAGE_7,0.6038274765014648,169,0.6471461057662964,102,0.04331862926483154
AC_FAGE_8,0.5921432971954346,179,0.6423054933547974,112,0.05016219615936279
AC_FAGE_9,0.530829131603241,259,0.5328972935676575,226,0.002068161964416504
AC_LT_1,0.745547890663147,73,0.6427544355392456,110,0.10279345512390137
AC_LT_2,0.5124683380126953,304,0.5871877670288086,165,0.07471942901611328
AGE_12,0.5114520788192749,305,0.44248032569885254,414,0.06897175312042236
AGE_13,0.515275239944458,297,0.46829187870025635,356,0.04698336124420166
AGE_14,0.5093461275100708,312,0.5075428485870361,273,0.001803278923034668
AGE_15,0.485679566860199,361,0.4362073242664337,425,0.04947224259376526
AGE_16,0.3633143901824951,605,0.39124244451522827,523,0.027928054332733154
AGE_17,0.38884615898132324,575,0.42136621475219727,460,0.03252005577087402
AGE_18,0.4240250289440155,493,0.469163179397583,354,0.045138150453567505
AS_DG_LT_1,0.7862023115158081,52,0.674557626247406,78,0.1116446852684021
AS_DG_LT_2,0.49032771587371826,345,0.5371361374855042,220,0.04680842161178589
AS_DG_YR_0,0.6612832546234131,135,0.5646961331367493,186,0.09658712148666382
AS_DG_YR_1,0.4427195191383362,450,0.4807593822479248,323,0.03803986310958862
AS_DG_YR_2,0.37957680225372314,592,0.4517495036125183,395,0.07217270135879517
A_FM_1,0.4454649090766907,441,0.47668808698654175,336,0.031223177909851074
A_FM_2,0.3914026618003845,566,0.3719288110733032,557,0.0194738507270813
DR_EXP_1,0.761978805065155,64,0.7139338254928589,60,0.04804497957229614
DR_EXP_2,0.40645167231559753,534,0.40213820338249207,498,0.004313468933105469
DR_LT_0,0.787882924079895,51,0.7158164978027344,57,0.07206642627716064
DR_LT_1,0.43825894594192505,462,0.4178527593612671,468,0.02040618658065796
DR_LT_2,0.15533915162086487,709,0.11443909257650375,721,0.040900059044361115
DR_LT_3,0.11744904518127441,721,0.10925240069627762,723,0.008196644484996796
ECZ_DG_LT_1,0.6063454151153564,165,0.5408690571784973,215,0.06547635793685913
ECZ_DG_LT_2,0.46568480134010315,395,0.4433090090751648,410,0.022375792264938354
ECZ_DG_YR_1,0.5751727223396301,192,0.5062103271484375,274,0.06896239519119263
ECZ_DG_YR_2,0.47144484519958496,385,0.46245360374450684,369,0.008991241455078125
ECZ_DG_YR_9999,0.46954667568206787,389,0.41494303941726685,475,0.054603636264801025
E_BORN_F_1,0.06294268369674683,724,0.09929190576076508,725,0.03634922206401825
E_BORN_F_10,0.060607776045799255,725,0.18408027291297913,694,0.12347249686717987
E_BORN_F_11,0.31247472763061523,646,0.2873780131340027,649,0.02509671449661255
E_BORN_F_13,0.14838166534900665,714,0.14735348522663116,711,0.0010281801223754883
E_BORN_F_2,0.12055648863315582,720,0.19259119033813477,688,0.07203470170497894
E_BORN_F_3,0.16359791159629822,707,0.1704973429441452,701,0.006899431347846985
E_BORN_F_6,0.07913250476121902,723,0.1704624593257904,702,0.09132995456457138
E_BORN_F_8,0.13130471110343933,719,0.17690077424049377,699,0.04559606313705444
E_BORN_F_8888,0.19969534873962402,695,0.18026183545589447,696,0.019433513283729553
E_BORN_F_9999,0.21336157619953156,692,0.20973461866378784,681,0.0036269575357437134
E_BORN_M_1,0.2723654806613922,663,0.27077940106391907,658,0.0015860795974731445
E_BORN_M_10,0.22617599368095398,689,0.2179437279701233,678,0.008232265710830688
E_BORN_M_11,0.15293651819229126,710,0.11088912934064865,722,0.04204738885164261
E_BORN_M_12,0.2505425810813904,676,0.24417871236801147,674,0.006363868713378906
E_BORN_M_13,0.15230797231197357,711,0.1820269674062729,695,0.029718995094299316
E_BORN_M_2,0.1555946320295334,708,0.20471006631851196,684,0.04911543428897858
E_BORN_M_3,0.08353133499622345,722,0.16126853227615356,706,0.07773719727993011
E_BORN_M_4,0.23143498599529266,686,0.2576916217803955,668,0.026256635785102844
